"REF_DATE","GEO","DGUID","Seasonal adjustment","Industries","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","134.1","","","","1"
"2017-04","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","135.7","","","","1"
"2017-07","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","137.2","","","","1"
"2017-10","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","137.4","","","","1"
"2018-01","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","138.8","","","","1"
"2018-04","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","140.8","","","","1"
"2018-07","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","141.7","","","","1"
"2018-10","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","143.2","","","","1"
"2019-01","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","144.7","","","","1"
"2019-04","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","146.1","","","","1"
"2019-07","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","148.0","","","","1"
"2019-10","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","148.8","","","","1"
"2020-01","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","136.9","","","","1"
"2020-04","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","60.8","","","","1"
"2020-07","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","83.6","","","","1"
"2020-10","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","87.5","","","","1"
"2021-01","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","85.3","","","","1"
"2021-04","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","85.4","","","","1"
"2021-07","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","103.2","","","","1"
"2021-10","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","110.3","","","","1"
"2022-01","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","112.9","","","","1"
"2022-04","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","123.7","","","","1"
"2022-07","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","128.2","","","","1"
"2022-10","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","130.8","","","","1"
"2023-01","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","136.7","","","","1"
"2023-04","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","136.2","","","","1"
"2023-07","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","134.4","","","","1"
"2023-10","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","137.0","","","","1"
"2024-01","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","138.7","","","","1"
"2024-04","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","137.6","","","","1"
"2024-07","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","136.3","","","","1"
"2024-10","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","138.2","","","","1"
"2025-01","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","138.8","","","","1"
"2010-01","Canada","2016A000011124","Seasonally adjusted","Food and beverage services","Jobs","190","thousands","3","v81668","1.2.11","184.2","","","","1"
"2010-04","Canada","2016A000011124","Seasonally adjusted","Food and beverage services","Jobs","190","thousands","3","v81668","1.2.11","183.3","","","","1"
"2010-07","Canada","2016A000011124","Seasonally adjusted","Food and beverage services","Jobs","190","thousands","3","v81668","1.2.11","182.5","","","","1"
"2010-10","Canada","2016A000011124","Seasonally adjusted","Food and beverage services","Jobs","190","thousands","3","v81668","1.2.11","182.8","","","","1"
"2011-01","Canada","2016A000011124","Seasonally adjusted","Food and beverage services","Jobs","190","thousands","3","v81668","1.2.11","183.8","","","","1"
"2011-04","Canada","2016A000011124","Seasonally adjusted","Food and beverage services","Jobs","190","thousands","3","v81668","1.2.11","184.3","","","","1"
"2011-07","Canada","2016A000011124","Seasonally adjusted","Food and beverage services","Jobs","190","thousands","3","v81668","1.2.11","185.5","","","","1"
"2011-10","Canada","2016A000011124","Seasonally adjusted","Food and beverage services","Jobs","190","thousands","3","v81668","1.2.11","186.6","","","","1"
"2012-01","Canada","2016A000011124","Seasonally adjusted","Food and beverage services","Jobs","190","thousands","3","v81668","1.2.11","187.3","","","","1"
"2012-04","Canada","2016A000011124","Seasonally adjusted","Food and beverage services","Jobs","190","thousands","3","v81668","1.2.11","190.0","","","","1"
"2012-07","Canada","2016A000011124","Seasonally adjusted","Food and beverage services","Jobs","190","thousands","3","v81668","1.2.11","191.1","","","","1"
