"REF_DATE","GEO","DGUID","Prices","Industries","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012-04","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2020","","","","0"
"2012-07","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2056","","","","0"
"2012-10","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2059","","","","0"
"2013-01","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2051","","","","0"
"2013-04","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2033","","","","0"
"2013-07","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","1973","","","","0"
"2013-10","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","1973","","","","0"
"2014-01","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2011","","","","0"
"2014-04","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2018","","","","0"
"2014-07","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2016","","","","0"
"2014-10","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2069","","","","0"
"2015-01","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2034","","","","0"
"2015-04","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2064","","","","0"
"2015-07","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2080","","","","0"
"2015-10","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2073","","","","0"
