"REF_DATE","GEO","DGUID","Investment income","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-04","Canada","2016A000011124","Direct investment, interest, receipts","Dollars","81","millions","6","v112604","1.6","2847","","","","0"
"2023-07","Canada","2016A000011124","Direct investment, interest, receipts","Dollars","81","millions","6","v112604","1.6","2947","","","","0"
"2023-10","Canada","2016A000011124","Direct investment, interest, receipts","Dollars","81","millions","6","v112604","1.6","3395","","","","0"
"2024-01","Canada","2016A000011124","Direct investment, interest, receipts","Dollars","81","millions","6","v112604","1.6","3551","","","","0"
"2024-04","Canada","2016A000011124","Direct investment, interest, receipts","Dollars","81","millions","6","v112604","1.6","3872","","","","0"
"2024-07","Canada","2016A000011124","Direct investment, interest, receipts","Dollars","81","millions","6","v112604","1.6","3803","","","","0"
"2024-10","Canada","2016A000011124","Direct investment, interest, receipts","Dollars","81","millions","6","v112604","1.6","3655","","","","0"
"2025-01","Canada","2016A000011124","Direct investment, interest, receipts","Dollars","81","millions","6","v112604","1.6","3572","","","","0"
"2010-01","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","8330","","","","0"
"2010-04","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","8141","","","","0"
"2010-07","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","9035","","","","0"
"2010-10","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","10791","","","","0"
"2011-01","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","10416","","","","0"
"2011-04","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","10407","","","","0"
"2011-07","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","10826","","","","0"
"2011-10","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","9646","","","","0"
"2012-01","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","11119","","","","0"
"2012-04","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","8320","","","","0"
"2012-07","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","11766","","","","0"
"2012-10","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","10025","","","","0"
"2013-01","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","9568","","","","0"
"2013-04","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","9359","","","","0"
"2013-07","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","11603","","","","0"
"2013-10","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","11532","","","","0"
"2014-01","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","11777","","","","0"
"2014-04","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","13045","","","","0"
"2014-07","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","11467","","","","0"
"2014-10","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","11413","","","","0"
"2015-01","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","12048","","","","0"
"2015-04","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","12396","","","","0"
"2015-07","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","11554","","","","0"
"2015-10","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","11053","","","","0"
"2016-01","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","10385","","","","0"
"2016-04","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","11552","","","","0"
"2016-07","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","12503","","","","0"
"2016-10","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","13272","","","","0"
"2017-01","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","13579","","","","0"
"2017-04","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","15304","","","","0"
"2017-07","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","16545","","","","0"
"2017-10","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","18055","","","","0"
"2018-01","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","18365","","","","0"
"2018-04","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","18433","","","","0"
"2018-07","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","18608","","","","0"
"2018-10","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","19593","","","","0"
"2019-01","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","18242","","","","0"
"2019-04","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","19919","","","","0"
"2019-07","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","15791","","","","0"
"2019-10","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","19973","","","","0"
"2020-01","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","18187","","","","0"
"2020-04","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","16354","","","","0"
"2020-07","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","14660","","","","0"
