"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Indicators","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","7968","","","","0"
"2015-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","8042","","","","0"
"2016-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","8162","","","","0"
"2016-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","8283","","","","0"
"2016-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","8493","","","","0"
"2016-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","8472","","","","0"
"2017-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","8596","","","","0"
"2017-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","8784","","","","0"
"2017-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","9020","","","","0"
"2017-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","9040","","","","0"
"2018-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","9092","","","","0"
"2018-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","9202","","","","0"
"2018-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","9391","","","","0"
"2018-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","9334","","","","0"
"2019-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","9431","","","","0"
"2019-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","9447","","","","0"
"2019-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","9433","","","","0"
"2019-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","9524","","","","0"
"2020-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","8177","","","","0"
"2020-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","1829","","","","0"
"2020-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","2884","","","","0"
"2020-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","3023","","","","0"
"2021-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","2862","","","","0"
"2021-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","3014","","","","0"
"2021-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","4591","","","","0"
"2021-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","5382","","","","0"
"2022-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","5513","","","","0"
"2022-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","7797","","","","0"
"2022-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","8625","","","","0"
"2022-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","9056","","","","0"
"2023-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","9244","","","","0"
"2023-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","9402","","","","0"
"2023-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","9658","","","","0"
"2023-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","9885","","","","0"
"2024-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","10078","","","","0"
"2024-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","10140","","","","0"
